2024-04-15 16:46:35 status unpacked openssh-client:amd64 1:8.4p1-5+deb11u3
2024-04-15 16:46:35 install ucf:all <none> 3.0043
2024-04-15 16:46:35 status half-installed ucf:all 3.0043
2024-04-15 16:46:35 status unpacked ucf:all 3.0043
2024-04-15 16:46:35 install libpsl5:amd64 <none> 0.21.0-1.2
2024-04-15 16:46:35 status half-installed libpsl5:amd64 0.21.0-1.2
2024-04-15 16:46:35 status unpacked libpsl5:amd64 0.21.0-1.2
2024-04-15 16:46:35 install wget:amd64 <none> 1.21-1+deb11u1
2024-04-15 16:46:35 status half-installed wget:amd64 1.21-1+deb11u1
2024-04-15 16:46:35 status unpacked wget:amd64 1.21-1+deb11u1
2024-04-15 16:46:35 install libbrotli1:amd64 <none> 1.0.9-2+b2
2024-04-15 16:46:35 status half-installed libbrotli1:amd64 1.0.9-2+b2
2024-04-15 16:46:35 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-04-15 16:46:35 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:35 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2024-04-15 16:46:35 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-04-15 16:46:35 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-04-15 16:46:35 install libnghttp2-14:amd64 <none> 1.43.0-1+deb11u1
2024-04-15 16:46:35 status half-installed libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-04-15 16:46:35 status unpacked libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-04-15 16:46:35 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:35 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:35 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:35 install libssh2-1:amd64 <none> 1.9.0-2
2024-04-15 16:46:35 status half-installed libssh2-1:amd64 1.9.0-2
2024-04-15 16:46:35 status unpacked libssh2-1:amd64 1.9.0-2
2024-04-15 16:46:35 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u11
2024-04-15 16:46:35 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u11
2024-04-15 16:46:35 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u11
2024-04-15 16:46:35 install liberror-perl:all <none> 0.17029-1
2024-04-15 16:46:35 status half-installed liberror-perl:all 0.17029-1
2024-04-15 16:46:35 status unpacked liberror-perl:all 0.17029-1
2024-04-15 16:46:35 install git-man:all <none> 1:2.30.2-1+deb11u2
2024-04-15 16:46:35 status half-installed git-man:all 1:2.30.2-1+deb11u2
2024-04-15 16:46:36 status unpacked git-man:all 1:2.30.2-1+deb11u2
2024-04-15 16:46:36 install git:amd64 <none> 1:2.30.2-1+deb11u2
2024-04-15 16:46:36 status half-installed git:amd64 1:2.30.2-1+deb11u2
2024-04-15 16:46:36 status unpacked git:amd64 1:2.30.2-1+deb11u2
2024-04-15 16:46:36 install libapr1:amd64 <none> 1.7.0-6+deb11u2
2024-04-15 16:46:36 status half-installed libapr1:amd64 1.7.0-6+deb11u2
2024-04-15 16:46:36 status unpacked libapr1:amd64 1.7.0-6+deb11u2
2024-04-15 16:46:36 install libaprutil1:amd64 <none> 1.6.1-5+deb11u1
2024-04-15 16:46:36 status half-installed libaprutil1:amd64 1.6.1-5+deb11u1
2024-04-15 16:46:36 status unpacked libaprutil1:amd64 1.6.1-5+deb11u1
2024-04-15 16:46:36 install libglib2.0-0:amd64 <none> 2.66.8-1+deb11u1
2024-04-15 16:46:36 status half-installed libglib2.0-0:amd64 2.66.8-1+deb11u1
2024-04-15 16:46:36 status unpacked libglib2.0-0:amd64 2.66.8-1+deb11u1
2024-04-15 16:46:37 install x11-common:all <none> 1:7.7+22
2024-04-15 16:46:37 status half-installed x11-common:all 1:7.7+22
2024-04-15 16:46:37 status unpacked x11-common:all 1:7.7+22
2024-04-15 16:46:37 install libice6:amd64 <none> 2:1.0.10-1
2024-04-15 16:46:37 status half-installed libice6:amd64 2:1.0.10-1
2024-04-15 16:46:37 status unpacked libice6:amd64 2:1.0.10-1
2024-04-15 16:46:37 install libserf-1-1:amd64 <none> 1.3.9-10
2024-04-15 16:46:37 status half-installed libserf-1-1:amd64 1.3.9-10
2024-04-15 16:46:37 status unpacked libserf-1-1:amd64 1.3.9-10
2024-04-15 16:46:37 install libsm6:amd64 <none> 2:1.2.3-1
2024-04-15 16:46:37 status half-installed libsm6:amd64 2:1.2.3-1
2024-04-15 16:46:37 status unpacked libsm6:amd64 2:1.2.3-1
2024-04-15 16:46:37 install libutf8proc2:amd64 <none> 2.5.0-1
2024-04-15 16:46:37 status half-installed libutf8proc2:amd64 2.5.0-1
2024-04-15 16:46:37 status unpacked libutf8proc2:amd64 2.5.0-1
2024-04-15 16:46:37 install libsvn1:amd64 <none> 1.14.1-3+deb11u1
2024-04-15 16:46:37 status half-installed libsvn1:amd64 1.14.1-3+deb11u1
2024-04-15 16:46:37 status unpacked libsvn1:amd64 1.14.1-3+deb11u1
2024-04-15 16:46:37 install libxau6:amd64 <none> 1:1.0.9-1
2024-04-15 16:46:37 status half-installed libxau6:amd64 1:1.0.9-1
2024-04-15 16:46:37 status unpacked libxau6:amd64 1:1.0.9-1
2024-04-15 16:46:37 install libxdmcp6:amd64 <none> 1:1.1.2-3
2024-04-15 16:46:37 status half-installed libxdmcp6:amd64 1:1.1.2-3
2024-04-15 16:46:37 status unpacked libxdmcp6:amd64 1:1.1.2-3
2024-04-15 16:46:37 install libxcb1:amd64 <none> 1.14-3
2024-04-15 16:46:37 status half-installed libxcb1:amd64 1.14-3
2024-04-15 16:46:37 status unpacked libxcb1:amd64 1.14-3
2024-04-15 16:46:37 install libx11-data:all <none> 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 status half-installed libx11-data:all 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 status unpacked libx11-data:all 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 install libx11-6:amd64 <none> 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 status half-installed libx11-6:amd64 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 status unpacked libx11-6:amd64 2:1.7.2-1+deb11u2
2024-04-15 16:46:37 install libxext6:amd64 <none> 2:1.3.3-1.1
2024-04-15 16:46:37 status half-installed libxext6:amd64 2:1.3.3-1.1
2024-04-15 16:46:37 status unpacked libxext6:amd64 2:1.3.3-1.1
2024-04-15 16:46:37 install libxrender1:amd64 <none> 1:0.9.10-1
2024-04-15 16:46:37 status half-installed libxrender1:amd64 1:0.9.10-1
2024-04-15 16:46:37 status unpacked libxrender1:amd64 1:0.9.10-1
2024-04-15 16:46:37 install mercurial-common:all <none> 5.6.1-4
2024-04-15 16:46:37 status half-installed mercurial-common:all 5.6.1-4
2024-04-15 16:46:37 status unpacked mercurial-common:all 5.6.1-4
2024-04-15 16:46:37 install mercurial:amd64 <none> 5.6.1-4
2024-04-15 16:46:37 status half-installed mercurial:amd64 5.6.1-4
2024-04-15 16:46:37 status unpacked mercurial:amd64 5.6.1-4
2024-04-15 16:46:37 install subversion:amd64 <none> 1.14.1-3+deb11u1
2024-04-15 16:46:37 status half-installed subversion:amd64 1.14.1-3+deb11u1
2024-04-15 16:46:38 status unpacked subversion:amd64 1.14.1-3+deb11u1
2024-04-15 16:46:38 startup packages configure
2024-04-15 16:46:38 configure media-types:all 4.0.0 <none>
2024-04-15 16:46:38 status unpacked media-types:all 4.0.0
2024-04-15 16:46:38 status half-configured media-types:all 4.0.0
2024-04-15 16:46:38 status installed media-types:all 4.0.0
2024-04-15 16:46:38 configure libxau6:amd64 1:1.0.9-1 <none>
2024-04-15 16:46:38 status unpacked libxau6:amd64 1:1.0.9-1
2024-04-15 16:46:38 status half-configured libxau6:amd64 1:1.0.9-1
2024-04-15 16:46:38 status installed libxau6:amd64 1:1.0.9-1
2024-04-15 16:46:38 configure libpsl5:amd64 0.21.0-1.2 <none>
2024-04-15 16:46:38 status unpacked libpsl5:amd64 0.21.0-1.2
2024-04-15 16:46:38 status half-configured libpsl5:amd64 0.21.0-1.2
2024-04-15 16:46:38 status installed libpsl5:amd64 0.21.0-1.2
2024-04-15 16:46:38 configure wget:amd64 1.21-1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked wget:amd64 1.21-1+deb11u1
2024-04-15 16:46:38 status half-configured wget:amd64 1.21-1+deb11u1
2024-04-15 16:46:38 status installed wget:amd64 1.21-1+deb11u1
2024-04-15 16:46:38 configure libglib2.0-0:amd64 2.66.8-1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libglib2.0-0:amd64 2.66.8-1+deb11u1
2024-04-15 16:46:38 status half-configured libglib2.0-0:amd64 2.66.8-1+deb11u1
2024-04-15 16:46:38 status installed libglib2.0-0:amd64 2.66.8-1+deb11u1
2024-04-15 16:46:38 configure perl-modules-5.32:all 5.32.1-4+deb11u3 <none>
2024-04-15 16:46:38 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u3
2024-04-15 16:46:38 status half-configured perl-modules-5.32:all 5.32.1-4+deb11u3
2024-04-15 16:46:38 status installed perl-modules-5.32:all 5.32.1-4+deb11u3
2024-04-15 16:46:38 configure libutf8proc2:amd64 2.5.0-1 <none>
2024-04-15 16:46:38 status unpacked libutf8proc2:amd64 2.5.0-1
2024-04-15 16:46:38 status half-configured libutf8proc2:amd64 2.5.0-1
2024-04-15 16:46:38 status installed libutf8proc2:amd64 2.5.0-1
2024-04-15 16:46:38 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2024-04-15 16:46:38 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-04-15 16:46:38 status half-configured libbrotli1:amd64 1.0.9-2+b2
2024-04-15 16:46:38 status installed libbrotli1:amd64 1.0.9-2+b2
2024-04-15 16:46:38 configure libsqlite3-0:amd64 3.34.1-3 <none>
2024-04-15 16:46:38 status unpacked libsqlite3-0:amd64 3.34.1-3
2024-04-15 16:46:38 status half-configured libsqlite3-0:amd64 3.34.1-3
2024-04-15 16:46:38 status installed libsqlite3-0:amd64 3.34.1-3
2024-04-15 16:46:38 configure libcbor0:amd64 0.5.0+dfsg-2 <none>
2024-04-15 16:46:38 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2024-04-15 16:46:38 status half-configured libcbor0:amd64 0.5.0+dfsg-2
2024-04-15 16:46:38 status installed libcbor0:amd64 0.5.0+dfsg-2
2024-04-15 16:46:38 configure x11-common:all 1:7.7+22 <none>
2024-04-15 16:46:38 status unpacked x11-common:all 1:7.7+22
2024-04-15 16:46:38 status half-configured x11-common:all 1:7.7+22
2024-04-15 16:46:38 status installed x11-common:all 1:7.7+22
2024-04-15 16:46:38 configure libnghttp2-14:amd64 1.43.0-1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-04-15 16:46:38 status half-configured libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-04-15 16:46:38 status installed libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-04-15 16:46:38 configure libapr1:amd64 1.7.0-6+deb11u2 <none>
2024-04-15 16:46:38 status unpacked libapr1:amd64 1.7.0-6+deb11u2
2024-04-15 16:46:38 status half-configured libapr1:amd64 1.7.0-6+deb11u2
2024-04-15 16:46:38 status installed libapr1:amd64 1.7.0-6+deb11u2
2024-04-15 16:46:38 configure bzip2:amd64 1.0.8-4 <none>
2024-04-15 16:46:38 status unpacked bzip2:amd64 1.0.8-4
2024-04-15 16:46:38 status half-configured bzip2:amd64 1.0.8-4
2024-04-15 16:46:38 status installed bzip2:amd64 1.0.8-4
2024-04-15 16:46:38 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 configure libx11-data:all 2:1.7.2-1+deb11u2 <none>
2024-04-15 16:46:38 status unpacked libx11-data:all 2:1.7.2-1+deb11u2
2024-04-15 16:46:38 status half-configured libx11-data:all 2:1.7.2-1+deb11u2
2024-04-15 16:46:38 status installed libx11-data:all 2:1.7.2-1+deb11u2
2024-04-15 16:46:38 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-04-15 16:46:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:38 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:38 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-04-15 16:46:38 configure libncurses6:amd64 6.2+20201114-2+deb11u2 <none>
2024-04-15 16:46:38 status unpacked libncurses6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 status half-configured libncurses6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 status installed libncurses6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 configure libncursesw6:amd64 6.2+20201114-2+deb11u2 <none>
2024-04-15 16:46:38 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 status half-configured libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 status installed libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-04-15 16:46:38 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-04-15 16:46:38 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-04-15 16:46:38 configure libmd0:amd64 1.0.3-3 <none>
2024-04-15 16:46:38 status unpacked libmd0:amd64 1.0.3-3
2024-04-15 16:46:38 status half-configured libmd0:amd64 1.0.3-3
2024-04-15 16:46:38 status installed libmd0:amd64 1.0.3-3
2024-04-15 16:46:38 configure sensible-utils:all 0.0.14 <none>
2024-04-15 16:46:38 status unpacked sensible-utils:all 0.0.14
2024-04-15 16:46:38 status half-configured sensible-utils:all 0.0.14
2024-04-15 16:46:38 status installed sensible-utils:all 0.0.14
2024-04-15 16:46:38 configure libmpdec3:amd64 2.5.1-1 <none>
2024-04-15 16:46:38 status unpacked libmpdec3:amd64 2.5.1-1
2024-04-15 16:46:38 status half-configured libmpdec3:amd64 2.5.1-1
2024-04-15 16:46:38 status installed libmpdec3:amd64 2.5.1-1
2024-04-15 16:46:38 configure git-man:all 1:2.30.2-1+deb11u2 <none>
2024-04-15 16:46:38 status unpacked git-man:all 1:2.30.2-1+deb11u2
2024-04-15 16:46:38 status half-configured git-man:all 1:2.30.2-1+deb11u2
2024-04-15 16:46:38 status installed git-man:all 1:2.30.2-1+deb11u2
2024-04-15 16:46:38 configure libssh2-1:amd64 1.9.0-2 <none>
2024-04-15 16:46:38 status unpacked libssh2-1:amd64 1.9.0-2
2024-04-15 16:46:38 status half-configured libssh2-1:amd64 1.9.0-2
2024-04-15 16:46:38 status installed libssh2-1:amd64 1.9.0-2
2024-04-15 16:46:38 configure libfido2-1:amd64 1.6.0-2 <none>
2024-04-15 16:46:38 status unpacked libfido2-1:amd64 1.6.0-2
2024-04-15 16:46:38 status half-configured libfido2-1:amd64 1.6.0-2
